[SYS] 2023/12/27 - 16:53:34 | One API  started 
[SYS] 2023/12/27 - 16:53:34 | using MySQL as database 
[FATAL] 2023/12/27 - 16:53:34 | [dial tcp 172.22.0.3:3306: connect: connection refused] 
[SYS] 2023/12/27 - 16:53:35 | One API  started 
[SYS] 2023/12/27 - 16:53:35 | using MySQL as database 
[SYS] 2023/12/27 - 16:53:35 | database migration started 
[SYS] 2023/12/27 - 16:53:35 | database migrated 
[SYS] 2023/12/27 - 16:53:35 | SYNC_FREQUENCY not set, Redis is disabled 
[SYS] 2023/12/27 - 16:53:35 | initializing token encoders 
[SYS] 2023/12/27 - 16:53:35 | token encoders initialized 
[GIN] 2023/12/27 - 17:13:08 | 20231227171308929304722wEAsrxwd | 200 |      56.497µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:13:38 | 20231227171338993079177yZUs5kJB | 200 |      53.884µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:14:09 | 202312271714096876497927QkQGH1 | 200 |      40.448µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:14:39 | 202312271714391292227937a5mtuNk | 200 |       39.54µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:15:09 | 20231227171509246098602bDPiDoNx | 200 |      54.357µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:15:39 | 20231227171539324944436iNF9vAZA | 200 |      73.979µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:16:09 | 20231227171609461282566llQRGbbC | 200 |      39.943µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:16:39 | 202312271716395398331092cEanEeK | 200 |      32.375µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:17:09 | 202312271717096142271536gQLRCrE | 200 |      56.145µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:17:39 | 20231227171739701557593JWmxmaL8 | 200 |      95.099µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:18:09 | 20231227171809822276472da88P0qB | 200 |      65.067µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:18:39 | 20231227171839900364633TqVZasVO | 200 |       52.98µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:19:09 | 20231227171909968990089EZDSd8GJ | 200 |      58.355µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:19:40 | 20231227171940428823115TgeOGRA | 200 |       49.84µs |       127.0.0.1 |     GET /api/status
[SYS] 2023/12/27 - 17:20:20 | One API  started 
[SYS] 2023/12/27 - 17:20:20 | using MySQL as database 
[FATAL] 2023/12/27 - 17:20:20 | [dial tcp 172.22.0.3:3306: connect: connection refused] 
[SYS] 2023/12/27 - 17:20:21 | One API  started 
[SYS] 2023/12/27 - 17:20:21 | using MySQL as database 
[SYS] 2023/12/27 - 17:20:21 | database migration started 
[SYS] 2023/12/27 - 17:20:21 | database migrated 
[SYS] 2023/12/27 - 17:20:21 | SYNC_FREQUENCY not set, Redis is disabled 
[SYS] 2023/12/27 - 17:20:21 | initializing token encoders 
[SYS] 2023/12/27 - 17:20:21 | token encoders initialized 
[GIN] 2023/12/27 - 17:20:51 | 20231227172051412226298gmBIE2U6 | 200 |      41.294µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:21:21 | 2023122717212148531145121etzknN | 200 |      57.832µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:21:51 | 20231227172151569446128mgkSS8nc | 200 |      56.018µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:22:21 | 20231227172221665434372nQDE7Bc0 | 200 |      45.806µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:22:51 | 20231227172251736748961z634m7sy | 200 |       26.28µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:23:21 | 20231227172321838104763h7O5Bpyj | 200 |      37.706µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:23:51 | 20231227172351937354979oOOIa2hQ | 200 |      43.494µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:24:22 | 2023122717242228161460wi5FOpCP | 200 |      68.178µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:24:52 | 20231227172452127056941YtyFbjcO | 200 |      26.939µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:25:22 | 20231227172522196777924pAGQOopA | 200 |      38.683µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:25:52 | 20231227172552289610082CZTgIhmf | 200 |      56.889µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:26:22 | 20231227172622385600979bz6dy62O | 200 |      78.112µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:26:52 | 20231227172652445181854uLG2nz8N | 200 |      38.018µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:27:22 | 20231227172722557624381XXs6hgRu | 200 |      34.371µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:27:52 | 20231227172752620874696IhuoAxa4 | 200 |      33.447µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:28:22 | 202312271728227259725919VnphBFf | 200 |      50.314µs |       127.0.0.1 |     GET /api/status
[GIN] 2023/12/27 - 17:28:52 | 20231227172852825488435R6SlPVU6 | 200 |      43.391µs |       127.0.0.1 |     GET /api/status
