[SYS] 2024/01/02 - 10:29:25 | One API  started 
[SYS] 2024/01/02 - 10:29:25 | using MySQL as database 
[FATAL] 2024/01/02 - 10:29:25 | [dial tcp 172.22.0.3:3306: connect: connection refused] 
[SYS] 2024/01/02 - 10:29:26 | One API  started 
[SYS] 2024/01/02 - 10:29:26 | using MySQL as database 
[SYS] 2024/01/02 - 10:29:26 | database migration started 
[SYS] 2024/01/02 - 10:29:26 | database migrated 
[SYS] 2024/01/02 - 10:29:26 | SYNC_FREQUENCY not set, Redis is disabled 
[SYS] 2024/01/02 - 10:29:26 | initializing token encoders 
[SYS] 2024/01/02 - 10:29:26 | token encoders initialized 
[GIN] 2024/01/02 - 11:05:02 | 202401021105028457636053R1wypCd | 200 |      53.736µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:05:32 | 202401021105329454524801R2ORHoY | 200 |      51.654µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:06:02 | 20240102110602999603524T1LkvQ3r | 200 |      36.554µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:06:33 | 2024010211063382821660P05OvBcj | 200 |      33.515µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:07:03 | 20240102110703189424366DdGqP3rh | 200 |      41.955µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:07:33 | 202401021107333016844854Q4BUAFc | 200 |      43.783µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:08:03 | 20240102110803370785452R5F4i5zf | 200 |      37.046µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:08:33 | 20240102110833459744429wJgaseHW | 200 |      32.709µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:09:03 | 20240102110903567526827OycXlFeg | 200 |      37.487µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:09:33 | 20240102110933641307098fZTrRMHR | 200 |      51.812µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:10:03 | 20240102111003750071995IO9typjE | 200 |      48.896µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:10:33 | 20240102111033818042973AOme9kMV | 200 |      31.114µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:11:03 | 20240102111103935905857n3PEjWuc | 200 |      61.189µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:11:34 | 2024010211113439402662HS321TbU | 200 |      31.507µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:12:04 | 20240102111204140766965KE26NnvO | 200 |      42.771µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:12:34 | 20240102111234204907060CWUKDZVf | 200 |      45.427µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:13:04 | 20240102111304320668268SkTl8SSb | 200 |      44.482µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:13:34 | 20240102111334421764515IDASmCCy | 200 |       93.15µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:14:04 | 20240102111404525324644NjrgzpPS | 200 |      33.585µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:14:34 | 20240102111434585010870vn3iZ3EW | 200 |      44.097µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:15:04 | 20240102111504681314791qOJ5bejx | 200 |      40.205µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:15:34 | 202401021115347493060831KmeK6gA | 200 |      58.144µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:16:04 | 20240102111604853137275JL2UlrxP | 200 |      36.678µs |       127.0.0.1 |     GET /api/status
[GIN] 2024/01/02 - 11:16:34 | 20240102111634954033757CTIwLgmy | 200 |      59.517µs |       127.0.0.1 |     GET /api/status
